titolo,autore,link,special
Abbiamo sempre vissuto nel castello,Shirley Jackson,https://it.wikipedia.org/wiki/Abbiamo_sempre_vissuto_nel_castello,FALSE
American Gods,Neil Gaiman,https://it.wikipedia.org/wiki/American_Gods,FALSE
Arancia meccanica,Anthony Burgess,https://it.wikipedia.org/wiki/Arancia_meccanica_(romanzo),FALSE
Augustus,John Williams,https://en.wikipedia.org/wiki/Augustus_(Williams_novel),FALSE
"Beautiful world, where are you",Sally Rooney,"https://en.wikipedia.org/wiki/Beautiful_World,_Where_Are_You",FALSE
Bomba atomica,Roberto Marcadini,https://it.wikipedia.org/wiki/Roberto_Mercadini#Libri,FALSE
Caino,Josè Saramago,https://it.wikipedia.org/wiki/Caino_(romanzo),FALSE
Cent’anni di solitudine,Gabriel Garcia Marquez,https://it.wikipedia.org/wiki/Cent%27anni_di_solitudine,FALSE
Delitto e castigo,Fiodor Dostoevskij,https://it.wikipedia.org/wiki/Delitto_e_castigo,FALSE
Dio di illusioni,Donna Tartt,https://it.wikipedia.org/wiki/Dio_di_illusioni,TRUE
Espiazione,Ian McEwan,https://it.wikipedia.org/wiki/Espiazione_(romanzo),TRUE
Follia,Patrick McGrath,https://it.wikipedia.org/wiki/Follia_(romanzo),FALSE
Il conte di Montecristo,Alexandre Dumas,https://it.wikipedia.org/wiki/Il_conte_di_Montecristo,TRUE
Il cuore è un cacciatore solitario,Carson McCullers,https://en.wikipedia.org/wiki/The_Heart_Is_a_Lonely_Hunter,FALSE
Il giovane Holden,J.D.Salinger,https://it.wikipedia.org/wiki/Il_giovane_Holden,TRUE
Il leopardo ,Jo Nesbo,https://it.wikipedia.org/wiki/Il_leopardo,FALSE
Il sentiero dei nidi di ragno,Italo Calvino,https://it.wikipedia.org/wiki/Il_sentiero_dei_nidi_di_ragno,FALSE
Il signore degli anelli,J.R.R. Tolkien,https://it.wikipedia.org/wiki/Il_Signore_degli_Anelli,TRUE
Kafka sulla spiaggia,Haruki Murakami,https://it.wikipedia.org/wiki/Kafka_sulla_spiaggia,FALSE
L'arte di vivere in difesa,Chad Harbach,https://it.wikipedia.org/wiki/L%27arte_di_vivere_in_difesa,TRUE
L'uomo di neve,Jo Nesbo,https://it.wikipedia.org/wiki/L%27uomo_di_neve_(Nesb%C3%B8),FALSE
La casa in collina,Cesare Pavese,https://it.wikipedia.org/wiki/La_casa_in_collina,FALSE
La Chimera,Sebastiano Vassalli,https://it.wikipedia.org/wiki/La_chimera_(Sebastiano_Vassalli),FALSE
La fattoria degli animali,George Orwell,https://it.wikipedia.org/wiki/La_fattoria_degli_animali,FALSE
La lunga marcia,Stephen King,https://it.wikipedia.org/wiki/La_lunga_marcia_(romanzo),FALSE
La ragazza senza volto,Jo Nesbo,https://it.wikipedia.org/wiki/La_ragazza_senza_volto,FALSE
La valle dell'Eden,John Steinbeck,https://it.wikipedia.org/wiki/La_valle_dell%27Eden_(romanzo),TRUE
La via dei re,Brandon Sanderson,https://it.wikipedia.org/wiki/La_via_dei_re,FALSE
Le menzogne della notte,Gesualdo Bufalino,https://it.wikipedia.org/wiki/Le_menzogne_della_notte,FALSE
Lo Hobbit,J.R.R. Tolkien,https://it.wikipedia.org/wiki/Lo_Hobbit,FALSE
Macchine come me,Ian McEwan,https://it.wikipedia.org/wiki/Ian_McEwan#Romanzi,FALSE
"Molto forte, incredibilmente vicino",Jonathan Safran Foer,"https://it.wikipedia.org/wiki/Molto_forte,_incredibilmente_vicino",FALSE
"Noi, I ragazzi dello zoo di Berlino",F. Christiane,"https://it.wikipedia.org/wiki/Noi,_i_ragazzi_dello_zoo_di_Berlino",FALSE
Normal people,Sally Rooney,https://en.wikipedia.org/wiki/Normal_People,FALSE
Norwegian wood,Haruki Murakami,https://it.wikipedia.org/wiki/Norwegian_Wood_(romanzo),FALSE
Notre Dame de Paris,Victor Hugo,https://it.wikipedia.org/wiki/Notre-Dame_de_Paris_(romanzo),FALSE
Parlarne tra amici,Sally Rooney,https://en.wikipedia.org/wiki/Conversations_with_Friends,FALSE
Pastorale Americana,Philip Roth,https://it.wikipedia.org/wiki/Pastorale_americana,FALSE
Polizia,Jo Nesbo,https://it.wikipedia.org/wiki/Polizia_(Nesb%C3%B8),FALSE
"Possiamo salvare il mondo, prima di cena",Jonathan Safran Foer,https://it.wikipedia.org/wiki/Jonathan_Safran_Foer#Romanzi,FALSE
Solanin,Inio Asano,https://it.wikipedia.org/wiki/Solanin,FALSE
Spillover. L'evoluzione delle pandemie,David Quammen,https://it.wikipedia.org/wiki/Spillover._L%27evoluzione_delle_pandemie,FALSE
Stoner,John Williams,https://en.wikipedia.org/wiki/Stoner_(novel),TRUE
"Un'odissea. Un padre, un figlio e un poema epico",Daniel Mendelsohn,https://it.wikipedia.org/wiki/Daniel_Mendelsohn#Opere_principali,FALSE
Uomini e topi,John Steinbeck,https://it.wikipedia.org/wiki/Uomini_e_topi_(romanzo),FALSE
Venuto al mondo,Margaret Mazzantini,https://it.wikipedia.org/wiki/Venuto_al_mondo,FALSE
